BaseType,Initial_Weight_g,AfterBlend_Weight_g,AfterHeating_Weight_g,Heating_Temperature_C,AfterCompression_Weight_g,Heating_time,Pan_type,Blending_time,Blender_power_W,mixer_speed,ph,moisture,Compression_Pressure_psi
Banana Peel,102.53,92.21,45.44,92.05,44.14,20.48,Iron ,34.03,385.12,3.07,5.27,L3,15
Banana Peel,128.64,121.91,49.02,113.6,47.17,15.15,Iron ,39.36,391.33,2.86,5.33,L2,11
Banana Peel,122.89,109.93,50.49,116.82,48.86,14.08,Iron ,36.88,450.88,3.06,5.31,L2,11
Banana Peel,105.11,91.06,47.14,98.57,44.07,20.52,Iron ,36.53,378.85,2.77,5.93,L3,15
Banana Peel,91.62,93.54,45.81,102.24,38.67,20.31,Iron ,34.51,427.7,2.8,5.29,L3,15
Banana Peel,104.1,100.17,43.71,101.67,45.04,19.38,Iron ,34.46,428.27,3.21,5.83,L3,15
Banana Peel,121.18,109.43,48.55,107.05,50.23,14.69,Iron ,41.49,418.34,3.21,4.99,L2,11
Banana Peel,98.26,88.07,45.68,96.63,41.05,20.67,Iron ,36.88,396.08,2.87,5.21,L3,15
Banana Peel,116.14,119.15,51.89,103.76,51.35,13.99,Iron ,38.85,393.32,2.85,5.48,L2,11
Banana Peel,121.77,108.33,56.51,113.72,46.46,14.21,Iron ,39.59,430.51,2.79,5.65,L2,11
Banana Peel,127.46,122.39,52.75,102.16,50.79,15.35,Iron ,43.2,422.42,3.01,5.25,L2,11
Banana Peel,99.6,88.34,42.7,96.21,41.03,19.0,Iron ,33.07,410.72,2.8,5.86,L3,15
Banana Peel,90.51,89.71,42.87,102.09,41.2,21.08,Iron ,34.65,411.46,3.22,5.33,L3,15
Banana Peel,119.05,117.59,55.53,116.64,50.44,15.66,Iron ,38.26,437.28,3.05,5.56,L2,11
Banana Peel,120.48,107.64,53.44,115.02,48.07,15.88,Iron ,39.53,424.58,2.88,5.36,L2,11
Banana Peel,90.84,94.63,42.21,101.93,38.73,20.74,Iron ,32.36,377.62,3.11,5.23,L3,15
Banana Peel,100.36,90.75,48.26,101.33,44.62,20.73,Iron ,34.99,407.24,2.84,5.46,L3,15
Banana Peel,119.57,107.16,54.48,115.6,49.87,13.93,Iron ,40.85,452.51,2.96,5.63,L2,11
Banana Peel,119.64,108.36,50.96,117.67,49.58,13.89,Iron ,41.41,430.14,2.87,4.9,L2,11
Banana Peel,119.18,110.26,48.45,104.04,49.41,15.58,Iron ,38.25,404.26,2.86,5.37,L2,11
Banana Peel,120.03,108.24,52.36,103.87,49.88,15.59,Iron ,40.29,389.42,3.08,5.49,L2,11
Banana Peel,93.16,91.39,43.91,91.79,40.23,20.67,Iron ,35.69,431.02,2.95,5.64,L3,15
Banana Peel,116.91,119.58,55.52,113.79,46.41,15.81,Iron ,40.22,392.15,3.2,4.98,L2,11
Banana Peel,123.14,118.19,48.93,113.48,48.6,15.59,Iron ,38.23,444.61,2.95,5.12,L2,11
Banana Peel,104.99,98.37,46.04,100.14,39.99,19.35,Iron ,34.96,418.69,2.78,5.21,L3,15
Banana Peel,103.08,87.04,46.08,88.43,40.64,19.87,Iron ,35.79,384.27,3.0,5.18,L3,15
Banana Peel,114.4,110.64,51.0,110.5,48.02,13.95,Iron ,42.76,439.26,2.96,5.27,L2,11
Banana Peel,110.73,113.78,52.61,108.84,49.59,14.91,Iron ,43.07,391.0,3.01,5.43,L2,11
Banana Peel,103.28,94.99,44.15,99.9,40.03,21.23,Iron ,36.52,413.62,2.89,5.67,L3,15
Banana Peel,110.74,116.02,48.62,114.28,48.36,15.71,Iron ,37.45,404.7,3.08,4.93,L2,11
Banana Peel,104.39,99.49,44.6,89.67,39.19,18.77,Iron ,33.77,425.22,2.84,5.55,L3,15
Banana Peel,129.06,114.0,56.52,112.12,45.91,15.51,Iron ,39.56,405.68,3.13,5.4,L2,11
Banana Peel,114.62,111.11,51.08,102.36,49.11,14.9,Iron ,40.64,439.01,2.87,5.2,L2,11
Banana Peel,114.55,119.97,48.87,114.01,47.29,14.98,Iron ,37.45,451.53,3.01,5.04,L2,11
Banana Peel,99.86,100.31,43.4,96.58,39.72,20.83,Iron ,34.25,386.94,3.12,5.3,L3,15
Banana Peel,115.82,120.88,49.32,106.44,47.4,14.85,Iron ,41.06,439.02,2.77,5.52,L2,11
Banana Peel,101.72,97.31,46.16,88.45,44.9,18.98,Iron ,36.82,392.18,2.81,5.8,L3,15
Banana Peel,89.86,95.71,46.46,93.65,42.32,20.88,Iron ,32.78,416.95,3.05,5.83,L3,15
